,job_title,job_domain,published,deadline,education,skills
0,Assistant Manager / Senior Executive (Corporate Sales),Digital Marketing,30 Dec 2024,25 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'BSc in CSE/EEE', 'Masters/MBA will get preference.']","['communication skill', 'Corporate Sales', 'Excellent leadership and interpersonal skills', 'Good presentation skill', 'IT Product Sales', 'Negotiation Skill', 'Problem Solving', 'Team work.']"
1,Mobile Application Developer (Flutter & Android),Android Development,11 Jan 2025,10 Feb 2025,[],"['Android', 'Android application development', 'Firebase', 'Flutter', 'Flutter and Kotlin programming languages', 'Flutter Developer', 'Flutter UI', 'JSON', 'Kotlin', 'REST API']"
2,IT and Digital Marketing Manager,Digital Marketing,3 Oct 2024,1 Feb 2025,['Bachelor in Engineering (BEngg)'],"['Digital Marketing (Social Media Marketing)', 'Photo Editing', 'Proficient Computer skills', 'Video Editing.']"
3,Digital Online Marketing Officer( Graphics Designer),Digital Marketing,23 Dec 2024,20 Jan 2025,['Bachelor of Science (Pass) in Film and Media'],"['Digital Marketing (Social Media Marketing)', 'Facebook Ads Manager', 'Facebook Business Manager', 'Hospital Marketing', 'SEO and Digital Marketer', 'Website Development', 'YouTube Marketing']"
4,Software Support Engineer,Software Development,17 Dec 2024,16 Jan 2025,"['Bachelor of Science (Pass) in Computer Science & Engineering', 'Bachelor’s Degree in Computer Science, Engineering, or a related field.']","['Communication in English', 'JavaScript', 'Laravel', 'MySQL database', 'PHP', 'ReactJS']"
5,Senior Server Administrator (SQL Server/MySQL DBA and Windows)- JRF Global,IT & Networking,14 Dec 2024,13 Jan 2025,"['Bachelor in Engineering (BEngg) in Computer Science & Engineering', 'Certifications such as AWS Certified Database – Specialty; Microsoft Certified: Azure Database Administrator Associate; Microsoft Certified: Data Engineer', 'Certification in Microsoft Windows Server Administration (must) and (Desirable) Linux Operating systems (e.g., MCSA, MCSE \xa0& RHCSA or Oracle Linux- OCA).']",['MS SQL Server']
6,Assistant Manager-MIS,IT & Networking,14 Dec 2024,13 Jan 2025,"['Bachelor/Honors', 'Graduate in Statistics or Economics from any reputed University.']","['Critical Thinking', 'Problem Solving']"
7,Asst. Manager / Senior Engineer (NOC),IT & Networking,18 Dec 2024,16 Jan 2025,"['Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electronics and Telecommunication Engineering', 'Preferred Professional Certification: MICROTIK, CCNA', 'Training/Trade Course: CCNA, MICROTIK']",[]
8,SEO Specialist,Digital Marketing,14 Dec 2024,13 Jan 2025,['Bachelor/Honors'],"['Off Page SEO', 'On page SEO', 'Search Engine Optimization (SEO)', 'SEO Expert', 'Technical SEO', 'YouTube SEO']"
9,"Executive,IT Specialist",IT & Networking,14 Dec 2024,13 Jan 2025,[],[]
10,"Officer - IT & Payroll (Garments Factory, Dhamrai)",IT & Networking,15 Dec 2024,14 Jan 2025,['Bachelor of Science (BSc) in CSE'],"['Good at Microsoft Word and Microsoft Excel', 'IT Support Service', 'Payroll', 'Payroll Processing']"
11,.NET Developer,Software Development,15 Dec 2024,14 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['.Net Core', 'ASP .NET', 'ASP.NET Core MVC', 'ASP.NET WebAPI', 'JavaScript', 'jQuery', 'MySQL', 'Oracle']"
12,Networking Executive,IT & Networking,17 Dec 2024,16 Jan 2025,"['Bachelor/Honors, Diploma', 'Relevant certifications (MTCRE, MCSE, JNCIA, JNCIS-SEC, CCNA, CCNP, CCIP, CCSP) are highly desirable (CISCO,BDCOM), OLTs (VSOL, BDCOM, C-DATA), and wireless devices are a must.']","['ISP', 'Network Engineering']"
13,Web Developer,Web Development,15 Dec 2024,14 Jan 2025,['HSC'],"['Digital Marketing (Social Media Marketing)', 'Web Developer/ Web Designer']"
14,Sr. Engineer(Backend/Frontend),Software Development,16 Dec 2024,14 Jan 2025,[],"['Backend Development', 'Cloud Platform', 'Ecommerce website', 'MySQL database', 'Next Js', 'Node JS', 'RESTful API', 'Technical SEO', 'Website Development']"
15,Senior Backend Engineer (Java),Software Development,17 Dec 2024,15 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['AWS', 'Backend Development', 'Dockers and Kubernetes', 'Java', 'Java SpringBoot']"
16,Full Stack Developer,Software Development,17 Dec 2024,15 Jan 2025,['Bachelor/Honors'],"['Backend Development', 'FrontPage', 'Full Stack Development', 'IT Support Service', 'Training & Development', 'Web Developer/ Web Designer']"
17,Senior Software Engineer (ASP.NET),Software Development,17 Dec 2024,15 Jan 2025,"['Bachelor of Science (BSc) in Computer Science, Computer Engineering, or a related field.']",['.ASP.NET']
18,UI/UX Designer,Design,17 Dec 2024,16 Jan 2025,['Bachelor of Science (BSc)'],"['Figma', 'Graphic Design and Digital Content Creation', 'Graphic Designer', 'Graphics Design', 'Mockup', 'Photoshop and Illustrator', 'Prototype Design', 'UI/UX strategies', 'UX and UI Designing', 'Web Designer']"
19,Oracle Developer,Software Development,17 Dec 2024,15 Jan 2025,"['Bachelor of Science (BSc)', 'Bachelor of Science (BSc) in Computer Science and Engineering, Master of Science (MSc) in CSE, Master’s Degree in any discipline, or IsDB BISEW IT Graduates are preferred.', 'Certification: Professional Certification on Oracle Database & orclAPEX.']","['JavaScript', 'jQuery/PrototypeJs', 'Oracle APEX', 'Oracle Database', 'SQL']"
20,Senior Software Engineer,Software Development,27 Dec 2024,17 Jan 2025,['Bachelor of Science (BSc)'],"['Advanced Wordpress Development', 'Bootstrap 5', 'JS JQuery AJAX', 'PHP MySql', 'Wordpress SEO', 'Wordpress Theme and Plugin Development']"
21,"Jr. Executive/ Executive, IT",IT & Networking,17 Dec 2024,15 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Computer Hardware and Networking', 'Excellent communication and presentation skills', 'self driven']"
22,Java Developer,Software Development,17 Dec 2024,16 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['API Implementation', 'Data Structures', 'Git and Github', 'Java', 'JavaScript', 'Problem solving and decision making', 'RDMS', 'SPRING boot', 'Spring Framework']"
23,Android Developer,Android Development,17 Dec 2024,16 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor’s Degree in Computer Science, Software Engineering, or related fields.']","['Android Studio', 'Database', 'Firebase', 'Java', 'jetpack', 'JSON', 'Kotlin', 'Networking', 'Unit Testing', 'XML']"
24,Technical Project Manager,Project Management & Administration,29 Dec 2024,16 Jan 2025,"['Master of Science (MSc) in Computer Science, Bachelor of Science (BSc) in Computer Science']",['Technical Skills']
25,Business Development Assistant Officer,Digital Marketing,11 Jan 2025,16 Jan 2025,"['Bachelor of Science (BSc)', 'B.Sc in CSE (Computer Science Engineering) Completed.']","['Critical Thinking', 'Good communication skills', 'Internet Browsing', 'Lead Genaration', 'Problem Solving Skills']"
26,"Deputy Manager, Cyber Security Department",IT & Networking,18 Dec 2024,17 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Collaboration efforts to achieve a common goal', 'Good communication skills', 'Leadership and teamwork', 'Problem solving and decision making']"
27,UI / UX Engineer,Design,18 Dec 2024,17 Jan 2025,"['Bachelor of Science (BSc), Bachelor of Computer Application (BCA)']",[]
28,Senior Web Developer / Lead Developer,Web Development,18 Dec 2024,16 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering, Master of Science (MSc) in Computer Science & Engineering, Master of Science (MSc) in Electrical & Electronic Engineering', 'A Degree in CSE or EEE is preferred, but candidates from other fields with relevant experience or exceptional skills are welcome to apply.']","['Express (for Node.js)', 'MySQL', 'next.js', 'react.js', 'Type Script']"
29,Web Developer,Web Development,18 Dec 2024,16 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering, Master of Science (MSc) in Computer Science & Engineering, Master of Science (MSc) in Electrical & Electronic Engineering', 'A degree in CSE or EEE is preferred, but candidates from other fields with relevant experience or exceptional skills are welcome to apply.']","['Express (for Node.js)', 'MySQL', 'next.js', 'react', 'Typescript']"
